"","gene","symbol","name","locus_group","ensembl_id","gene_type","genomic_position_ucsc_link","p53_expression_score_55_to_57","p53_median_log2fc","p53_bound_tss","p53_bound_enhancer","rfx7_target","cell_cycle_expression_score_0_to_9","cell_cycle_gene_category","dream_target","mmb_foxm1_target","rb_e2f_target","d_np63_expression_score_12_to_14","d_np63_target","potential_d_np63_target","uni_prot_kb_id","p53_expression_score_protein_5_to_5","p53_median_log2fc_protein","mouse_ensembl_id","mouse_genomic_position","mouse_gene_name","mouse_p53_expression_score_13_to_15","mouse_p53_target","locus_type","entrez_id"
"396","IGFBP7","IGFBP7","insulin like growth factor binding protein 7","protein-coding gene","ENSG00000163453","protein_coding","chr4:57030773-57110385","20","0.53","yes","yes","no","2","-","no","no","no","3","no","yes","Q16270","1","0.34","ENSMUSG00000036256","chr5:77349240-77408041","Igfbp7","-2","no","gene with protein product","3490"
"397","CCDC18-AS1","CCDC18-AS1","CCDC18 antisense RNA 1","non-coding RNA","ENSG00000223745","lncRNA","chr1:93262186-93346025","20","0.51","yes","yes","no","1","-","no","no","no","-5","no","no","-","-","-","-","-","-","-","-","RNA, long non-coding","100131564"
"398","CDH3","CDH3","cadherin 3","protein-coding gene","ENSG00000062038","protein_coding","chr16:68636189-68722616","20","0.49","no","yes","no","2","-","no","no","no","1","no","no","P22223","1","0.46","ENSMUSG00000061048","chr8:106510891-106557297","Cdh3","3","no","gene with protein product","1001"
"399","GDPD5","GDPD5","glycerophosphodiester phosphodiesterase domain containing 5","protein-coding gene","ENSG00000158555","protein_coding","chr11:75434640-75525941","20","0.34","no","yes","no","2","-","no","no","no","-4","no","yes","-","-","-","ENSMUSG00000035314","chr7:99381414-99461877","Gdpd5","11","no","gene with protein product","81544"
"400","DNAJC18","DNAJC18","DnaJ heat shock protein family (Hsp40) member C18","protein-coding gene","ENSG00000170464","protein_coding","chr5:139408588-139444491","20","0.34","yes","yes","no","2","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000024350","chr18:35671103-35708414","Dnajc18","2","no","gene with protein product","202052"
"401","FITM2","FITM2","fat storage inducing transmembrane protein 2","protein-coding gene","ENSG00000197296","protein_coding","chr20:44302840-44311202","20","0.33","yes","no","no","3","G1/S","no","no","no","-2","no","no","Q8N6M3","0","-0.05","ENSMUSG00000048486","chr2:163466379-163472629","Fitm2","8","yes","gene with protein product","128486"
"402","RPS6KA1","RPS6KA1","ribosomal protein S6 kinase A1","protein-coding gene","ENSG00000117676","protein_coding","chr1:26529761-26575030","20","0.32","no","yes","no","1","-","no","no","no","1","no","no","Q15418","0","0.19","ENSMUSG00000003644","chr4:133847290-133887797","Rps6ka1","0","no","gene with protein product","6195"
"403","PLEC","PLEC","plectin","protein-coding gene","ENSG00000178209","protein_coding","chr8:143915153-143976734","20","0.29","yes","yes","no","1","-","no","no","no","3","no","yes","Q15149","2","0.24","ENSMUSG00000022565","chr15:76170974-76232574","Plec","2","no","gene with protein product","5339"
"404","TMEM64","TMEM64","transmembrane protein 64","protein-coding gene","ENSG00000180694","protein_coding","chr8:90621995-90791632","20","0.29","yes","yes","no","2","-","no","no","no","1","no","no","Q6YI46","-1","-0.54","ENSMUSG00000043252","chr4:15265831-15286753","Tmem64","-3","no","gene with protein product","169200"
"405","MT-ND4","MT-ND4","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4","protein-coding gene","ENSG00000198886","protein_coding","chrM:10760-12137","20","0.29","yes","no","no","2","-","no","no","no","0","no","no","P03905","0","-0.53","ENSMUSG00000064363","chrMT:10167-11544","mt-Nd4","0","no","gene with protein product","4538"
"406","FAM162A","FAM162A","family with sequence similarity 162 member A","protein-coding gene","ENSG00000114023","protein_coding","chr3:122384176-122412334","20","0.27","yes","yes","no","2","-","no","no","no","2","no","no","Q96A26","2","0.22","ENSMUSG00000003955","chr16:36043761-36071594","Fam162a","3","no","gene with protein product","26355"
"407","GNAI1","GNAI1","G protein subunit alpha i1","protein-coding gene","ENSG00000127955","protein_coding","chr7:79768028-80226181","20","0.27","yes","yes","no","4","G2/M","no","no","no","6","no","yes","P63096","2","0.32","ENSMUSG00000057614","chr5:18265135-18360355","Gnai1","1","no","gene with protein product","2770"
"408","CTTNBP2NL","CTTNBP2NL","CTTNBP2 N-terminal like","protein-coding gene","ENSG00000143079","protein_coding","chr1:112396214-112463456","20","0.25","no","yes","no","1","-","no","no","no","0","no","no","Q9P2B4","2","0.28","ENSMUSG00000062127","chr3:105001915-105053146","Cttnbp2nl","1","no","gene with protein product","55917"
"409","LUZP1","LUZP1","leucine zipper protein 1","protein-coding gene","ENSG00000169641","protein_coding","chr1:23084023-23177808","20","0.24","yes","yes","no","2","-","no","no","no","6","no","yes","Q86V48","0","0.09","ENSMUSG00000001089","chr4:136469761-136554780","Luzp1","0","no","gene with protein product","7798"
"410","KIAA1671","KIAA1671","KIAA1671","protein-coding gene","ENSG00000197077","protein_coding","chr22:24952730-25197448","20","0.24","no","yes","no","2","-","no","no","no","-1","no","no","Q9BY89","0","0.04","ENSMUSG00000051339","chr5:113086323-113221236","2900026A02Rik","-2","no","gene with protein product","85379"
"411","STK10","STK10","serine/threonine kinase 10","protein-coding gene","ENSG00000072786","protein_coding","chr5:172042079-172188224","20","0.23","yes","yes","no","3","G2/M","no","no","no","4","no","yes","O94804","2","0.22","ENSMUSG00000020272","chr11:32533305-32624587","Stk10","-1","no","gene with protein product","6793"
"412","TGFBR1","TGFBR1","transforming growth factor beta receptor 1","protein-coding gene","ENSG00000106799","protein_coding","chr9:99104038-99154192","20","0.16","yes","no","no","2","-","no","no","no","0","no","no","P36897","0","-0.09","ENSMUSG00000007613","chr4:47353222-47414931","Tgfbr1","0","no","gene with protein product","7046"
"413","TLE4","TLE4","TLE family member 4, transcriptional corepressor","protein-coding gene","ENSG00000106829","protein_coding","chr9:79571773-79726882","19","0.75","yes","yes","no","1","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000024642","chr19:14448150-14598051","Tle4","-2","no","gene with protein product","7091"
"414","THSD1","THSD1","thrombospondin type 1 domain containing 1","protein-coding gene","ENSG00000136114","protein_coding","chr13:52377167-52416373","19","0.64","yes","no","no","1","-","no","no","no","3","no","yes","-","-","-","ENSMUSG00000031480","chr8:22227313-22261334","Thsd1","2","no","gene with protein product","55901"
"415","ANKRD24","ANKRD24","ankyrin repeat domain 24","protein-coding gene","ENSG00000089847","protein_coding","chr19:4183354-4224814","19","0.6","yes","no","no","1","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000054708","chr10:81628540-81647610","Ankrd24","-2","no","gene with protein product","170961"
"416","PPP1R14C","PPP1R14C","protein phosphatase 1 regulatory inhibitor subunit 14C","protein-coding gene","ENSG00000198729","protein_coding","chr6:150143044-150250392","19","0.6","no","yes","no","1","-","no","no","no","-1","no","no","Q8TAE6","0","0.06","ENSMUSG00000040653","chr10:3366057-3464975","Ppp1r14c","2","no","gene with protein product","81706"
"417","ADAMTS13","ADAMTS13","ADAM metallopeptidase with thrombospondin type 1 motif 13","protein-coding gene","ENSG00000160323","protein_coding","chr9:133414358-133459402","19","0.54","no","yes","no","1","-","no","no","no","-3","no","no","-","-","-","ENSMUSG00000014852","chr2:26973416-27009628","Adamts13","0","no","gene with protein product","11093"
"418","C6orf226","PEX39","peroxisomal biogenesis factor 39","protein-coding gene","ENSG00000221821","protein_coding","chr6:42890265-42890821","19","0.49","yes","yes","no","2","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000062619","chr17:46772635-46773396","2310039H08Rik","3","no","gene with protein product","441150"
"419","TSGA10","TSGA10","testis specific 10","protein-coding gene","ENSG00000135951","protein_coding","chr2:98997261-99154964","19","0.43","no","yes","no","1","-","no","no","no","-3","no","no","-","-","-","ENSMUSG00000060771","chr1:37754776-37866429","Tsga10","-1","no","gene with protein product","80705"
"420","CHST14","CHST14","carbohydrate sulfotransferase 14","protein-coding gene","ENSG00000169105","protein_coding","chr15:40470984-40473158","19","0.35","yes","no","no","2","-","no","no","no","-1","no","no","Q8NCH0","2","0.48","ENSMUSG00000074916","chr2:118926496-118928585","Chst14","6","yes","gene with protein product","113189"
"421","DENND2C","DENND2C","DENN domain containing 2C","protein-coding gene","ENSG00000175984","protein_coding","chr1:114582848-114670422","19","0.33","no","yes","no","1","-","no","no","no","3","no","yes","-","-","-","ENSMUSG00000007379","chr3:103102604-103169769","Dennd2c","13","no","gene with protein product","163259"
"422","COBL","COBL","cordon-bleu WH2 repeat protein","protein-coding gene","ENSG00000106078","protein_coding","chr7:51016212-51316818","19","0.3","no","yes","no","2","-","no","no","no","-9","no","yes","O75128","1","-0.30","ENSMUSG00000020173","chr11:12236608-12464960","Cobl","-2","no","gene with protein product","23242"
"423","MTA2","MTA2","metastasis associated 1 family member 2","protein-coding gene","ENSG00000149480","protein_coding","chr11:62593214-62601865","19","0.3","yes","yes","no","2","-","no","no","no","6","no","yes","O94776","-3","-0.35","ENSMUSG00000071646","chr19:8941875-8952303","Mta2","0","no","gene with protein product","9219"
"424","PIM2","PIM2","Pim-2 proto-oncogene, serine/threonine kinase","protein-coding gene","ENSG00000102096","protein_coding","chrX:48913182-48919024","19","0.29","yes","no","no","3","G2/M","no","no","no","3","no","yes","-","-","-","ENSMUSG00000031155","chrX:7878262-7883432","Pim2","0","no","gene with protein product","11040"
"425","NIBAN2","NIBAN2","niban apoptosis regulator 2","protein-coding gene","ENSG00000136830","protein_coding","chr9:127505339-127578989","19","0.27","yes","yes","no","4","G2/M","no","no","no","-2","no","no","Q96TA1","5","0.54","ENSMUSG00000026796","chr2:32876114-32925254","Fam129b","2","no","gene with protein product","64855"
"426","GSS","GSS","glutathione synthetase","protein-coding gene","ENSG00000100983","protein_coding","chr20:34928432-34956027","19","0.26","yes","no","no","2","-","no","no","no","-2","no","no","P48637","4","0.37","ENSMUSG00000027610","chr2:155563181-155592810","Gss","13","yes","gene with protein product","2937"
"427","MFSD10","SLC75A1","solute carrier family 75 member 1","protein-coding gene","ENSG00000109736","protein_coding","chr4:2930561-2934834","19","0.25","no","yes","no","0","-","no","no","no","0","no","no","Q14728","0","-0.22","ENSMUSG00000001082","chr5:34633642-34637212","Mfsd10","-1","no","gene with protein product","10227"
"428","CELSR2","CELSR2","cadherin EGF LAG seven-pass G-type receptor 2","protein-coding gene","ENSG00000143126","protein_coding","chr1:109249539-109275751","19","0.23","yes","no","no","3","G1/S","no","no","no","1","no","no","Q9HCU4","1","0.33","ENSMUSG00000068740","chr3:108390851-108415552","Celsr2","8","no","gene with protein product","1952"
"429","SUPT7L","SUPT7L","SPT7 like, STAGA complex subunit gamma","protein-coding gene","ENSG00000119760","protein_coding","chr2:27650809-27663840","19","0.22","yes","no","no","3","G1/S","no","no","no","-6","no","no","O94864","-1","-0.20","ENSMUSG00000053134","chr5:31514564-31527807","Supt7l","0","no","gene with protein product","9913"
"430","ITGB4","ITGB4","integrin subunit beta 4","protein-coding gene","ENSG00000132470","protein_coding","chr17:75721328-75757818","19","0.22","no","yes","no","2","-","no","no","no","6","no","yes","P16144","3","0.54","ENSMUSG00000020758","chr11:115974709-116008412","Itgb4","9","yes","gene with protein product","3691"
"431","STK11","STK11","serine/threonine kinase 11","protein-coding gene","ENSG00000118046","protein_coding","chr19:1177558-1228431","19","0.21","no","yes","no","1","-","no","no","no","0","no","no","Q15831","1","0.15","ENSMUSG00000003068","chr10:80115803-80130682","Stk11","0","no","gene with protein product","6794"
"432","ABCC1","ABCC1","ATP binding cassette subfamily C member 1 (ABCC1 blood group)","protein-coding gene","ENSG00000103222","protein_coding","chr16:15949138-16143257","19","0.2","no","yes","no","3","G2/M","no","no","no","1","no","no","P33527","4","0.34","ENSMUSG00000023088","chr16:14361558-14475737","Abcc1","1","no","gene with protein product","4363"
"433","GNPTAB","GNPTAB","N-acetylglucosamine-1-phosphate transferase subunits alpha and beta","protein-coding gene","ENSG00000111670","protein_coding","chr12:101745499-101830959","19","0.19","no","yes","no","2","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000035311","chr10:88379132-88447329","Gnptab","-3","no","gene with protein product","79158"
"434","EIF2AK4","EIF2AK4","eukaryotic translation initiation factor 2 alpha kinase 4","protein-coding gene","ENSG00000128829","protein_coding","chr15:39934115-40035591","19","0.19","yes","no","no","1","-","no","no","no","2","no","no","Q9P2K8","2","0.28","ENSMUSG00000005102","chr2:118388618-118475234","Eif2ak4","-1","no","gene with protein product","440275"
"435","MTO1","MTO1","mitochondrial tRNA translation optimization 1","protein-coding gene","ENSG00000135297","protein_coding","chr6:73461578-73509236","19","0.19","yes","yes","no","3","G2/M","no","no","no","3","no","yes","Q9Y2Z2","2","0.20","ENSMUSG00000032342","chr9:78448208-78475348","Mto1","0","no","gene with protein product","25821"
"436","CSRNP2","CSRNP2","cysteine and serine rich nuclear protein 2","protein-coding gene","ENSG00000110925","protein_coding","chr12:51061205-51083664","19","0.18","yes","yes","no","2","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000044636","chr15:100479570-100495488","Csrnp2","4","no","gene with protein product","81566"
"437","LCE1E","LCE1E","late cornified envelope 1E","protein-coding gene","ENSG00000186226","protein_coding","chr1:152786214-152788426","18","2.71","yes","no","no","1","-","no","no","no","3","no","yes","-","-","-","-","-","-","-","-","gene with protein product","353135"
"438","POU3F1","POU3F1","POU class 3 homeobox 1","protein-coding gene","ENSG00000185668","protein_coding","chr1:38043829-38046793","18","2.56","yes","no","no","0","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000090125","chr4:124656807-124660655","Pou3f1","1","no","gene with protein product","5453"
"439","ICAM4","ICAM4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","protein-coding gene","ENSG00000105371","protein_coding","chr19:10286955-10288522","18","1.54","yes","no","no","0","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000001014","chr9:21029373-21030595","Icam4","0","no","gene with protein product","3386"
"440","RIC3","RIC3","RIC3 acetylcholine receptor chaperone","protein-coding gene","ENSG00000166405","protein_coding","chr11:8106056-8169055","18","1.32","yes","no","no","1","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000048330","chr7:109034312-109083331","Ric3","0","no","gene with protein product","79608"
"441","NEFL","NEFL","neurofilament light chain","protein-coding gene","ENSG00000277586","protein_coding","chr8:24950955-24956721","18","1.22","yes","yes","no","1","-","no","no","no","3","no","no","P07196","1","0.53","ENSMUSG00000022055","chr14:68083863-68089095","Nefl","0","no","gene with protein product","4747"
"442","SPNS2","SPNS2","SPNS lysolipid transporter 2, sphingosine-1-phosphate","protein-coding gene","ENSG00000183018","protein_coding","chr17:4498881-4539035","18","0.58","no","yes","no","2","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000040447","chr11:72451638-72489904","Spns2","0","no","gene with protein product","124976"
"443","MTMR9LP","MTMR9LP","myotubularin related protein 9 like, pseudogene","pseudogene","ENSG00000220785","transcribed_unprocessed_pseudogene","chr1:32231658-32241620","18","0.41","no","yes","no","2","-","no","no","no","-","-","-","-","-","-","-","-","-","-","-","pseudogene","339483"
"444","DUBR","DUBR","DPPA2 upstream binding RNA","non-coding RNA","ENSG00000243701","lncRNA","chr3:107220744-107348464","18","0.37","yes","no","no","1","-","no","no","no","0","no","no","-","-","-","-","-","-","-","-","RNA, long non-coding","344595"
"445","LURAP1L","LURAP1L","leucine rich adaptor protein 1 like","protein-coding gene","ENSG00000153714","protein_coding","chr9:12775020-12823060","18","0.34","no","yes","no","2","-","no","no","no","-2","no","no","-","-","-","ENSMUSG00000048706","chr4:80910646-80955628","Lurap1l","-6","no","gene with protein product","286343"
"446","RASSF4","RASSF4","Ras association domain family member 4","protein-coding gene","ENSG00000107551","protein_coding","chr10:44959407-44995891","18","0.32","yes","yes","no","1","-","no","no","no","-2","no","no","-","-","-","ENSMUSG00000042129","chr6:116633008-116673952","Rassf4","-2","no","gene with protein product","83937"
"447","MARCHF4","MARCHF4","membrane associated ring-CH-type finger 4","protein-coding gene","ENSG00000144583","protein_coding","chr2:216257865-216372483","18","0.32","yes","no","no","1","-","no","no","no","2","no","no","-","-","-","ENSMUSG00000039372","chr1:72427112-72536930","March4","1","no","gene with protein product","57574"
"448","MT-ND4L","MT-ND4L","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L","protein-coding gene","ENSG00000212907","protein_coding","chrM:10470-10766","18","0.32","yes","no","no","2","-","no","no","no","0","no","no","-","-","-","-","-","-","-","-","gene with protein product","4539"
"449","LYST","LYST","lysosomal trafficking regulator","protein-coding gene","ENSG00000143669","protein_coding","chr1:235661041-235883640","18","0.31","no","yes","no","1","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000019726","chr13:13590397-13778803","Lyst","-3","no","gene with protein product","1130"
"450","MT-RNR1","MT-RNR1","mitochondrially encoded 12S rRNA","non-coding RNA","ENSG00000211459","Mt_rRNA","chrM:648-1601","18","0.3","yes","no","no","3","G1/S","no","no","no","-","-","-","-","-","-","-","-","-","-","-","RNA, ribosomal","4549"
"451","TRAF3IP2","TRAF3IP2","TRAF3 interacting protein 2","protein-coding gene","ENSG00000056972","protein_coding","chr6:111555381-111606906","18","0.28","yes","no","no","2","-","no","no","no","7","no","yes","O43734","1","0.28","ENSMUSG00000019842","chr10:39612934-39655307","Traf3ip2","2","no","gene with protein product","10758"
"452","MAFK","MAFK","MAF bZIP transcription factor K","protein-coding gene","ENSG00000198517","protein_coding","chr7:1530702-1543043","18","0.28","no","yes","no","4","UNCLEAR","no","no","no","-2","no","no","O60675","0","0.00","ENSMUSG00000018143","chr5:139791513-139802653","Mafk","6","yes","gene with protein product","7975"
"453","MT-CO3","MT-CO3","mitochondrially encoded cytochrome c oxidase III","protein-coding gene","ENSG00000198938","protein_coding","chrM:9207-9990","18","0.27","yes","no","no","2","-","no","no","no","-3","no","no","P00414","0","0.13","-","-","-","-","-","gene with protein product","4514"
"454","CD44","CD44","CD44 molecule (IN blood group)","protein-coding gene","ENSG00000026508","protein_coding","chr11:35138882-35232402","18","0.25","no","yes","no","1","-","no","no","no","8","yes","yes","P16070","0","0.12","ENSMUSG00000005087","chr2:102811141-102901665","Cd44","3","no","gene with protein product","960"
"455","LACTB","LACTB","lactamase beta","protein-coding gene","ENSG00000103642","protein_coding","chr15:63121833-63142061","18","0.24","no","yes","no","2","-","no","no","no","-2","no","no","P83111","1","0.05","ENSMUSG00000032370","chr9:66955388-66975484","Lactb","6","no","gene with protein product","114294"
"456","SLC2A1","SLC2A1","solute carrier family 2 member 1","protein-coding gene","ENSG00000117394","protein_coding","chr1:42925353-42958893","18","0.24","yes","yes","no","2","-","no","no","no","-2","no","no","P11166","3","0.43","ENSMUSG00000028645","chr4:119108711-119137983","Slc2a1","0","no","gene with protein product","6513"
"457","MICAL2","MICAL2","microtubule associated monooxygenase, calponin and LIM domain containing 2","protein-coding gene","ENSG00000133816","protein_coding","chr11:12094008-12359144","18","0.24","no","yes","no","2","-","no","no","no","3","no","yes","O94851","2","0.35","ENSMUSG00000038244","chr7:112225856-112413106","Mical2","1","no","gene with protein product","9645"
"458","ANKRD13B","ANKRD13B","ankyrin repeat domain 13B","protein-coding gene","ENSG00000198720","protein_coding","chr17:29589769-29614761","18","0.24","no","yes","no","1","-","no","no","no","2","no","no","-","-","-","ENSMUSG00000037907","chr11:77470485-77489678","Ankrd13b","7","no","gene with protein product","124930"
"459","PRKCD","PRKCD","protein kinase C delta","protein-coding gene","ENSG00000163932","protein_coding","chr3:53156009-53192717","18","0.22","no","yes","no","1","-","no","no","no","2","no","no","Q05655","2","0.18","ENSMUSG00000021948","chr14:30595354-30626210","Prkcd","7","no","gene with protein product","5580"
"460","MTATP6P1","MTATP6P1","MT-ATP6 pseudogene 1","pseudogene","ENSG00000248527","unprocessed_pseudogene","chr1:633696-634376","18","0.22","yes","no","no","1","-","no","no","no","-","-","-","-","-","-","-","-","-","-","-","pseudogene","106480796"
"461","PLD1","PLD1","phospholipase D1","protein-coding gene","ENSG00000075651","protein_coding","chr3:171600404-171810950","18","0.2","no","yes","no","3","G1/S","no","no","no","-1","no","no","Q13393","0","0.40","ENSMUSG00000027695","chr3:27938695-28133362","Pld1","2","no","gene with protein product","5337"
"462","CTNNBIP1","CTNNBIP1","catenin beta interacting protein 1","protein-coding gene","ENSG00000178585","protein_coding","chr1:9848276-9910336","18","0.2","yes","no","no","3","G2/M","no","no","no","3","no","yes","Q9NSA3","3","0.53","ENSMUSG00000028988","chr4:149518236-149566437","Ctnnbip1","2","no","gene with protein product","56998"
"463","NCSTN","NCSTN","nicastrin","protein-coding gene","ENSG00000162736","protein_coding","chr1:160343316-160358952","18","0.19","no","yes","no","2","-","no","no","no","-8","no","yes","Q92542","2","0.12","ENSMUSG00000003458","chr1:172066013-172082795","Ncstn","1","no","gene with protein product","23385"
"464","TRUB1","TRUB1","TruB pseudouridine synthase family member 1","protein-coding gene","ENSG00000165832","protein_coding","chr10:114938195-114977676","18","0.19","yes","no","no","2","-","no","no","no","3","no","no","Q8WWH5","0","-0.02","ENSMUSG00000025086","chr19:57452912-57491005","Trub1","-1","no","gene with protein product","142940"
"465","PTEN","PTEN","phosphatase and tensin homolog","protein-coding gene","ENSG00000171862","protein_coding","chr10:87863625-87971930","18","0.18","yes","yes","no","4","G2/M","no","no","no","-2","no","no","P60484","1","0.70","ENSMUSG00000013663","chr19:32757497-32826160","Pten","0","no","gene with protein product","5728"
"466","UBC","UBC","ubiquitin C","protein-coding gene","ENSG00000150991","protein_coding","chr12:124911604-124917368","18","0.17","yes","yes","no","3","G1/S","no","no","no","4","no","yes","-","-","-","ENSMUSG00000008348","chr5:125385965-125390202","Ubc","0","no","gene with protein product","7316"
"467","CAPN2","CAPN2","calpain 2","protein-coding gene","ENSG00000162909","protein_coding","chr1:223701593-223776018","18","0.17","no","yes","no","2","-","no","no","no","3","no","yes","P17655","3","0.27","ENSMUSG00000026509","chr1:182467260-182517608","Capn2","-1","no","gene with protein product","824"
"468","PTP4A1","PTP4A1","protein tyrosine phosphatase 4A1","protein-coding gene","ENSG00000112245","protein_coding","chr6:63521746-63583436","17","0.89","yes","no","no","4","UNCLEAR","no","yes","no","-1","no","no","Q93096","2","0.45","-","-","-","-","-","gene with protein product","7803"
"469","APOD","APOD","apolipoprotein D","protein-coding gene","ENSG00000189058","protein_coding","chr3:195568705-195584033","17","0.89","yes","no","no","1","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000022548","chr16:31296192-31314808","Apod","2","no","gene with protein product","347"
"470","CSTA","CSTA","cystatin A","protein-coding gene","ENSG00000121552","protein_coding","chr3:122325248-122341969","17","0.76","yes","no","no","1","-","no","no","no","9","yes","yes","P01040","2","0.28","-","-","-","-","-","gene with protein product","1475"
"471","ALDH1L1","ALDH1L1","aldehyde dehydrogenase 1 family member L1","protein-coding gene","ENSG00000144908","protein_coding","chr3:126103562-126197994","17","0.76","yes","no","no","1","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000030088","chr6:90486427-90600203","Aldh1l1","9","no","gene with protein product","10840"
"472","RASGRF1","RASGRF1","Ras protein specific guanine nucleotide releasing factor 1","protein-coding gene","ENSG00000058335","protein_coding","chr15:78959906-79090780","17","0.55","yes","no","no","1","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000032356","chr9:89909908-90026977","Rasgrf1","3","no","gene with protein product","5923"
"473","POU2F2","POU2F2","POU class 2 homeobox 2","protein-coding gene","ENSG00000028277","protein_coding","chr19:42086110-42196585","17","0.53","yes","yes","no","1","-","no","no","no","2","no","no","-","-","-","ENSMUSG00000008496","chr7:25087344-25179726","Pou2f2","0","no","gene with protein product","5452"
"474","SGIP1","SGIP1","SH3GL interacting endocytic adaptor 1","protein-coding gene","ENSG00000118473","protein_coding","chr1:66533383-66751139","17","0.42","no","yes","no","1","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000028524","chr4:102741297-102973628","Sgip1","0","no","gene with protein product","84251"
"475","SLC37A1","SLC37A1","solute carrier family 37 member 1","protein-coding gene","ENSG00000160190","protein_coding","chr21:42496008-42581440","17","0.39","no","yes","no","1","-","no","no","no","-4","no","no","-","-","-","ENSMUSG00000024036","chr17:31286792-31350739","Slc37a1","0","no","gene with protein product","54020"
"476","FLRT2","FLRT2","fibronectin leucine rich transmembrane protein 2","protein-coding gene","ENSG00000185070","protein_coding","chr14:85530144-85654428","17","0.37","yes","yes","no","1","-","no","no","no","4","no","yes","-","-","-","ENSMUSG00000047414","chr12:95692226-95785215","Flrt2","-2","no","gene with protein product","23768"
"477","MT-ATP6","MT-ATP6","mitochondrially encoded ATP synthase membrane subunit 6","protein-coding gene","ENSG00000198899","protein_coding","chrM:8527-9207","17","0.32","yes","no","no","2","-","no","no","no","-2","no","no","P00846","0","0.08","ENSMUSG00000064357","chrMT:7927-8607","mt-Atp6","1","no","gene with protein product","4508"
"478","LAMA5","LAMA5","laminin subunit alpha 5","protein-coding gene","ENSG00000130702","protein_coding","chr20:62307955-62367312","17","0.3","no","yes","no","2","-","no","no","no","-5","no","yes","O15230","1","0.15","ENSMUSG00000015647","chr2:180176373-180225859","Lama5","5","no","gene with protein product","3911"
"479","AMPD3","AMPD3","adenosine monophosphate deaminase 3","protein-coding gene","ENSG00000133805","protein_coding","chr11:10308313-10507579","17","0.3","yes","no","no","1","-","no","no","no","5","no","yes","Q01432","1","0.32","ENSMUSG00000005686","chr7:110768206-110812405","Ampd3","2","no","gene with protein product","272"
"480","IER3","IER3","immediate early response 3","protein-coding gene","ENSG00000137331","protein_coding","chr6:30743199-30744548","17","0.3","yes","no","no","3","G1/S","no","no","no","3","no","yes","-","-","-","ENSMUSG00000003541","chr17:35821684-35822923","Ier3","-2","no","gene with protein product","8870"
"481","IL1RAP","IL1RAP","interleukin 1 receptor accessory protein","protein-coding gene","ENSG00000196083","protein_coding","chr3:190514051-190659750","17","0.3","yes","yes","no","2","-","no","no","no","7","no","yes","-","-","-","ENSMUSG00000022514","chr16:26581704-26730117","Il1rap","1","no","gene with protein product","3556"
"482","HTRA1","HTRA1","HtrA serine peptidase 1","protein-coding gene","ENSG00000166033","protein_coding","chr10:122458551-122514907","17","0.29","no","yes","no","2","-","no","no","no","2","no","no","-","-","-","ENSMUSG00000006205","chr7:130936111-130985660","Htra1","-1","no","gene with protein product","5654"
"483","SMIM3","SMIM3","small integral membrane protein 3","protein-coding gene","ENSG00000256235","protein_coding","chr5:150777946-150796734","17","0.29","no","yes","no","2","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000038059","chr18:60474191-60501987","Smim3","10","no","gene with protein product","85027"
"484","CUL9","CUL9","cullin 9","protein-coding gene","ENSG00000112659","protein_coding","chr6:43182184-43224587","17","0.27","yes","no","no","1","-","no","no","no","3","no","yes","Q8IWT3","1","0.41","ENSMUSG00000040327","chr17:46500572-46546388","Cul9","2","no","gene with protein product","23113"
"485","ARID3A","ARID3A","AT-rich interaction domain 3A","protein-coding gene","ENSG00000116017","protein_coding","chr19:925781-975939","17","0.27","yes","no","no","2","-","no","no","no","-2","no","no","Q99856","1","0.34","ENSMUSG00000019564","chr10:79927043-79955018","Arid3a","-3","no","gene with protein product","1820"
"486","TPCN1","TPCN1","two pore segment channel 1","protein-coding gene","ENSG00000186815","protein_coding","chr12:113221050-113298585","17","0.27","no","yes","no","2","-","no","no","no","-1","no","no","Q9ULQ1","1","-0.10","ENSMUSG00000032741","chr5:120534153-120588673","Tpcn1","-3","no","gene with protein product","53373"
"487","ITGA6","ITGA6","integrin subunit alpha 6","protein-coding gene","ENSG00000091409","protein_coding","chr2:172427354-172506459","17","0.25","no","yes","no","2","-","no","no","no","10","yes","yes","P23229","3","0.37","ENSMUSG00000027111","chr2:71745616-71858416","Itga6","4","no","gene with protein product","3655"
